feature,importance
target_rolling_max_8,0.012167453380430793
weighted_close,0.011987462683047845
return_rolling_mean_12,0.011817281029033566
RSI_14,0.01173096227844761
low_close_ratio,0.011643651615039774
volume_ma_4,0.011517133871136842
momentum_4,0.011384826378837146
target_lag_10,0.011274415963185902
down_streak,0.011163556275546327
volume_ratio_4,0.011079360931168479
target_rolling_mean_24,0.010371751944182606
return_192,0.010321774258265748
price_volume,0.010280139237252683
close_position_96,0.009886344867764185
log_return_48,0.00980164722363952
Minus_DI,0.009798512049075387
range_volatility_96,0.00975103337608107
target_kurt_96,0.009697903974209873
close_zscore_4,0.009620508741248202
body_size,0.009535037779475175
close_SMA_ratio_12,0.00951684754565818
return_skew_48,0.009092946076033392
target_skew_96,0.009069791925141249
ATR_14,0.009069335254508815
close_rolling_std_48,0.008878174346661716
