feature,importance
close_lag_16,0.009656859192826772
volume_rolling_mean_12,0.009550028250060905
bb_position,0.009426348419365682
momentum_24,0.009365636257153427
price_volume_log,0.009142587555157622
ema_96,0.009019505880019096
target_rolling_median_24,0.008730683127708083
sma_24,0.008710436888161865
close_rolling_std_24,0.008616242728116674
upper_shadow,0.008192571162956797
close_lag_3,0.008140937166334794
macd,0.008049094732276607
target_rolling_std_12,0.007848844034612057
momentum_12,0.007846669377757909
volume_lag_8,0.007726181826001821
volatility_48,0.007656838010035472
volume_lag_4,0.007483241063320101
bb_volume_cross,0.007417788655715185
rsi_14,0.007341920186483719
sma_96,0.0073136736139076675
macd_signal,0.007214542677151048
volume_lag_6,0.007062571485615621
close_sma_ratio_4,0.0068970016786238375
close_lag_4,0.006876878781950424
hour_cos,0.006844213531142174
price_range,0.006625521519669775
target_rolling_std_48,0.006582074419100081
return_rolling_mean_48,0.006417317548545798
volume_lag_3,0.006389369315701998
volume_ma_4,0.006217619915588557
hour,0.006174060934207581
atr_14,0.006078266009808431
target_rolling_range_12,0.005963255844730675
log_return_4,0.0059534430583312314
volume_lag_16,0.005790048396413344
target_lag_48,0.005747622527138674
ema_24,0.005436763723082549
close_rolling_mean_24,0.005180769943763153
macd_hist,0.005023829878995745
return_rolling_std_4,0.0049375743140132045
close_lag_24,0.0048911328562670775
return_rolling_std_12,0.004696882329092489
ema_4,0.004676860305686148
close_lag_2,0.0044426346545893836
return_rolling_mean_24,0.004403216170523194
target_rolling_mean_4,0.004099731803343332
return_rolling_mean_4,0.004090173430707056
target_rolling_median_48,0.003857891970028504
volume_ma_96,0.003855875685672139
volume_rolling_mean_4,0.0035923409078435498
volume_rolling_std_48,0.003590734186659006
volume_ma_24,0.003333704328042586
close_lag_12,0.003270725178538214
target_rolling_mean_48,0.0032564793698384165
volume_rolling_std_12,0.0032023424130418476
close_lag_6,0.00315838610342567
volume_rolling_std_24,0.0031137086839549966
close_sma_ratio_12,0.0030644353426367843
month_cos,0.002899901010096073
range_volatility_12,0.002865352521084219
momentum_ratio_48,0.002701640873510769
hour_sin,0.0026035368630630273
day_sin,0.002482974142594685
sma_48,0.002389399571256945
volume_rolling_mean_48,0.0023264473776407613
momentum_ratio_24,0.002149212417805302
close_rolling_mean_96,0.0017884374490222399
close_lag_8,0.0015040963044157252
day_of_week,0.00139056569986451
month,0.0009020674715429777
ema_48,0.0008195812657731949
bb_upper,0.0007069256703227111
year,0.0006935989949852228
close_rolling_mean_4,0.0006806002828625424
sma_12,0.00060366987429461
month_sin,0.0005499219914781861
volume_rolling_mean_24,0.00038928994149500795
close_rolling_mean_12,0.0001538659998914227
volume_rolling_mean_96,0.00011512312417494286
close_rolling_mean_48,7.76447441523942e-05
roc_24,7.359225082836929e-05
day_cos,0.0
is_us_session,0.0
is_weekend,0.0
is_asia_session,0.0
